ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",1020,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",505438,0.4620509534226589
0,"White Alone",1,"Hispanic or Latino",2018,"2018",6245,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",68445,0.0625696475275185
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",4056.9999999999995,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",341063,0.3117859842892547
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",3025,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",7877,0.007200834444798935
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",769,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3113,0.0028457785485158163
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",1518,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",1718,0.0015705260348057091
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",1742,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",67332,0.06155218799507451
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",633,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",806,0.0007368125634769509
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",285,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",263,0.00024042395061344674
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",73,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",46,0.00004205133736965228
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",1439,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3044,0.002782701542461338
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",7372,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",65361,0.05975037960473571
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",4618.0537025894355,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",25298,0.023126407234292684
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",1260.0928537215025,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",4097,0.0037453115044231607
0,"White Alone",0,"Not Hispanic or Latino",2017,"2017",808,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",503802,0.4678535377220508
0,"White Alone",1,"Hispanic or Latino",2017,"2017",6676,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",73771,0.06850711853325991
1,"Black or African American Alone",0,"Not Hispanic or Latino",2017,"2017",3914,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",333833,0.31001256457569715
1,"Black or African American Alone",1,"Hispanic or Latino",2017,"2017",1263,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3270,0.0030366712882265376
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2017,"2017",652,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",2083,0.0019343688970568434
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2017,"2017",1516,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",2357,0.002188817806223226
3,"Asian Alone",0,"Not Hispanic or Latino",2017,"2017",2319,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",61620,0.05722314519281934
3,"Asian Alone",1,"Hispanic or Latino",2017,"2017",308,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",239,0.0002219463112801659
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2017,"2017",231.99999999999997,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",355,0.00032966920713162716
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2017,"2017",140,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",85,0.00007893488058081214
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2017,"2017",1070,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",2906,0.002698644270209883
5,"Some Other Race Alone",1,"Hispanic or Latino",2017,"2017",6275,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",59832,0.05556272676366061
6,"Two or More Races",0,"Not Hispanic or Latino",2017,"2017",5063.416336822403,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",28838,0.026780283366934828
6,"Two or More Races",1,"Hispanic or Latino",2017,"2017",1471.3585558931582,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",3846,0.0035715711848682765
0,"White Alone",0,"Not Hispanic or Latino",2016,"2016",1623,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",500214,0.47421065853901323
0,"White Alone",1,"Hispanic or Latino",2016,"2016",6787.999999999999,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",74717,0.07083287907587442
1,"Black or African American Alone",0,"Not Hispanic or Latino",2016,"2016",2652,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",327612,0.31058127574454775
1,"Black or African American Alone",1,"Hispanic or Latino",2016,"2016",2754,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",7009,0.006644641105006944
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2016,"2016",706,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",2181,0.0020676219503524247
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2016,"2016",635,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",559,0.0005299407016263207
3,"Asian Alone",0,"Not Hispanic or Latino",2016,"2016",1576,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",59379,0.056292216318191944
3,"Asian Alone",1,"Hispanic or Latino",2016,"2016",163,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",165,0.00015642256845857408
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2016,"2016",301,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",786,0.0007451402352026621
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2016,"2016",203,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",0,0
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2016,"2016",2280,"Mecklenburg County, NC","05000US37119","mecklenburg-county-nc",5019,0.004758090127839899
